number,value,best value
0,1.7654984365463258,1.7654984365463258
2,2.306847104708354,
3,3.703235101381938,
4,9.302066521453858,
5,7.106974868520101,
6,64.14956756998698,
7,5.726963517506917,
9,30.954093551127116,
11,4.497380861473084,
12,5.323629347101847,
13,1759.0880276367188,
14,4.018154869143168,
15,4.289183957544963,
16,5.692274515660604,
17,3.734127996826172,
18,3.50188644917806,
19,3.6476121989568075,
20,4.066502715174357,
21,3.5708133460362754,
22,6.946391198221843,
23,4.875346218236287,
24,4.209657596969604,
25,3.2656658082326255,
26,2.1291511344273886,
27,4.257352912012736,
29,6.029010073916117,
30,3.1672869696299233,
31,2.2081085938135785,
32,2.0049815667470297,
33,2.923859307607015,
34,2.7089011454264322,
35,2.9546378224054974,
36,3.891021480178833,
37,2.645579061381022,
39,2.8983944780985516,
40,13.764486455535888,
41,12.634975231933593,
42,2.577411350886027,
43,4.483232690302531,
44,2.532349203745524,
46,2.5721080125172935,
47,4.315114477539063,
48,4.149961023203532,
49,25.78056127471924,
50,37.66228836466471,
51,3.082849340947469,
52,1.7437048850377401,1.7437048850377401
53,2.447471907488505,
54,2.374099110476176,
55,2.77059796555837,
56,2.954585002454122,
57,4.875993186569214,
58,3.067778340021769,
59,2.4997998423258463,
60,3.1987955865859985,
61,29.21891368815104,
62,2.185045650990804,
63,2.357503030840556,
64,2.6760200892766317,
65,3.4243504459381104,
66,3.711062270037333,
67,2.090211626180013,
68,2.093173952039083,
69,3.710416458129883,
70,3.912326194000244,
71,3.768975579961141,
72,2.1669755359649656,
73,1.8577415037790934,
74,2.394682661310832,
75,2.708611819966634,
76,1.876164845275879,
77,2.0178134808222454,
79,2.402727468427022,
80,1.7899161205927532,
81,2.056862589454651,
82,1.4193975344975789,
83,1.2037216598510743,1.2037216598510743
84,1.332038764635722,
85,1.559860431543986,
86,1.5879843620936076,
87,2.353803513908386,
88,1.771285041809082,
89,1.730086224238078,
90,1.4120000816345215,
91,3.4573594254811604,
92,2.0114461555480956,
93,1.8768764724731446,
94,1.9051965614318849,
95,1.8407196995417276,
96,2.3155387493769326,
97,2.3981009489695233,
98,2.77052160059611,
99,1.6201490022659302,
101,2.1242367152531942,
102,1.9711923456192018,
103,1.3239178970336913,
104,2.0327246840159097,
105,1.1203047547340392,1.1203047547340392
106,1.230183289718628,
107,1.4053089784940085,
108,1.2894031007766724,
109,1.395433147239685,
110,1.5894702960332234,
111,1.3654267890294394,
112,1.3737622755686443,
113,1.3658674116770426,
114,1.3102478284835815,
115,4.838059879430135,
116,1.3358634213765461,
117,1.548489416249593,
118,1.519274940999349,
119,1.4509293213526409,
120,3.937159216626485,
121,1.519067281182607,
122,1.296118900680542,
123,1.4285932511011759,
124,1.3637526772816977,
125,1.9370455125808717,
126,2.3944916154225666,
127,1.7346426122029623,
128,1.5624768599828085,
129,1.5059775451024373,
130,1.5291594487508138,
132,1.566953648630778,
133,2.264258418973287,
134,1.461936075782776,
135,1.7859416748682657,
136,4.940265569178264,
137,1.4951720745722452,
138,1.497666340637207,
139,1.9796116491953533,
140,1.5234607180277506,
141,1.3185177551269531,
142,1.3314677450815837,
143,1.593353185304006,
144,1.1928976043383281,
145,1.3145575747172038,
146,1.3013843634923299,
147,3.2493106528600055,
148,3.5507784548441568,
149,1.4031555805842082,
150,1.5158602813402813,
151,1.4495011148452759,
152,1.2410218400319417,
153,1.4461352396647136,
154,1.3271281653086344,
155,1.443279541015625,
156,1.5673560629526775,
157,1.8568816042900085,
159,1.363062547047933,
160,1.52167676598231,
161,1.6464823099454244,
162,1.4333214178085327,
163,1.3113062847773234,
164,1.2845780761082968,
165,1.2390949218114218,
166,1.3461217337608338,
